slashtag,shortUrl,destination,title,clicks,createdAt
s,ffxiv.be/s,https://raw.githubusercontent.com/vaoan/PCSetup/refs/heads/main/run-all.ps1,raw.githubusercontent.com,37,2026-02-26T17:37:56.000Z
b5126c,ffxiv.be/b5126c,https://filedn.com/leGgCrrYIXV0YvzNNKbdzBb/ffxiv_dx11_SGTAjRvWnI.png,ffxiv_dx11_SGTAjRvWnI.png (1448×805),1,2025-12-31T20:27:19.000Z
3ec10c,ffxiv.be/3ec10c,https://filedn.com/leGgCrrYIXV0YvzNNKbdzBb/ffxiv_dx11_SGTAjRvWnI.png,ffxiv_dx11_SGTAjRvWnI.png (1448×805),0,2025-12-31T20:27:13.000Z
ENL2,ffxiv.be/ENL2,https://www.mediafire.com/file/zfu8ucaas4l581e/Eorzean-Nightlife-V2.pmp/file,Eorzean-Nightlife-V2,4,2024-01-08T08:25:27.000Z
ENL1,ffxiv.be/ENL1,https://www.mediafire.com/file/k7nla0wvkxyl91t/Eorzean-Nightlife.pmp/file,Eorzean-Nightlife,7,2024-01-08T08:24:35.000Z
yul,ffxiv.be/yul,https://yul-sanjaa.carrd.co/,Yul Sanjaa,491,2023-12-21T04:58:29.000Z
truth,ffxiv.be/truth,https://forgiventruth.carrd.co,Forgiven Truth,107,2023-06-18T15:12:58.000Z
rvv,ffxiv.be/rvv,https://pastebin.com/HJxju30x,P12S P1 + P2 - Pastebin.com,0,2023-06-11T00:48:00.000Z
carrd,ffxiv.be/carrd,https://forgiventruth.carrd.co,Forgiven Truth,61,2023-06-07T04:52:34.000Z
flist,ffxiv.be/flist,https://www.f-list.net/c/forgiven%20truth/,F-list - Warning,81,2023-06-07T04:41:42.000Z
